room_count,bathroom_count,size,price,city,region
2.0,2.0,113.0,212.5,Ariana,Ariana Ville
3.0,2.0,138.0,425.0,Ariana,Jardins D'el Menzah
2.0,1.0,80.0,287.5,Ariana,Ennasr
4.0,2.0,200.0,550.0,Ariana,Ennasr
4.0,1.0,160.0,387.5,Ariana,Autres villes
2.0,1.0,89.0,170.0,Ariana,Borj Louzir
2.0,1.0,94.0,231.25,Ariana,La Soukra
1.0,1.0,79.0,182.6875,Ariana,Ghazela
3.0,1.0,157.0,425.0,Ariana,Ennasr
2.0,1.0,105.0,281.25,Ariana,La Soukra
3.0,1.0,130.0,400.0,Ariana,Ennasr
2.0,1.0,120.0,337.5,Ariana,Ennasr
3.0,2.0,100.0,212.5,Ariana,Borj Louzir
2.0,1.0,74.0,225.0,Ariana,Ennasr
2.0,1.0,90.0,256.25,Ariana,Ariana
3.0,2.0,151.0,281.25,Ariana,Jardins D'el Menzah
4.0,2.0,145.0,512.5,Ariana,Ennasr
4.0,1.0,126.0,312.5,Ariana,Ennasr
1.0,1.0,64.0,193.75,Ariana,Autres villes
2.0,1.0,105.0,287.5,Ariana,Jardins D'el Menzah
3.0,1.0,163.0,425.0,Ariana,Borj Louzir
3.0,1.0,76.0,143.75,Ariana,Chotrana
4.0,3.0,370.0,1375.0,Ariana,La Soukra
3.0,2.0,143.0,450.0,Ariana,La Soukra
4.0,2.0,200.0,450.0,Ariana,Ennasr
3.0,1.0,150.0,437.5,Ariana,Ennasr
2.0,1.0,130.0,375.0,Ariana,Ennasr
4.0,2.0,120.0,250.0,Ariana,Autres villes
1.0,1.0,56.0,197.5,Ariana,Jardins D'el Menzah
2.0,2.0,136.0,375.0,Ariana,Ennasr
3.0,2.0,140.0,343.75,Ariana,Jardins D'el Menzah
3.0,1.0,110.0,187.5,Ariana,Raoued
2.0,1.0,100.0,287.5,Ariana,Jardins D'el Menzah
2.0,1.0,120.0,300.0,Ariana,Ennasr
2.0,1.0,126.0,412.5,Ariana,Ennasr
3.0,3.0,278.0,937.5,Ariana,La Soukra
2.0,2.0,186.0,587.5,Ariana,La Soukra
3.0,3.0,188.0,812.5,Ariana,La Soukra
1.0,1.0,87.0,303.75,Ariana,Ennasr
3.0,3.0,165.0,812.5,Ariana,La Soukra
4.0,2.0,130.0,356.25,Ariana,Jardins D'el Menzah
1.0,1.0,60.0,225.0,Ariana,Ennasr
1.0,1.0,75.0,237.5,Ariana,Ennasr
4.0,1.0,100.0,500.0,Ariana,Autres villes
3.0,2.0,138.0,368.75,Ariana,Ariana Ville
1.0,1.0,72.0,200.0,Ariana,Chotrana
2.0,1.0,62.0,136.25,Ariana,Chotrana
3.0,1.0,85.0,187.5,Ariana,Borj Louzir
2.0,1.0,52.0,106.25,Ariana,Ariana
3.0,2.0,120.0,306.25,Ariana,Ariana
3.0,2.0,153.0,423.75,Ariana,Ariana
2.0,1.0,115.0,210.0,Ariana,Ghazela
3.0,1.0,100.0,156.25,Ariana,Raoued
2.0,1.0,70.0,287.5,Ariana,Ariana
3.0,2.0,125.0,262.5,Ariana,Ghazela
4.0,2.0,157.0,551.25,Ariana,Ennasr
3.0,2.0,187.0,712.5,Ariana,La Soukra
1.0,1.0,57.0,181.25,Ariana,Jardins D'el Menzah
2.0,2.0,126.0,412.5,Ariana,Jardins D'el Menzah
3.0,2.0,163.0,425.0,Ariana,Ennasr
2.0,1.0,105.0,275.0,Ariana,Ennasr
4.0,1.0,153.0,450.0,Ariana,Ariana
2.0,1.0,120.0,287.5,Ariana,Jardins D'el Menzah
